"","year","gfdl_pdo","ipsl_pdo","had_pdo","ensMeanPDO","recDev_GFDL","recDev_HAD","recDev_IPSL","recDev_EMEAN"
"1",1976,-1.07271139004387,0.78451083254161,-0.620249077165871,-0.302816544889377,-0.838323951319284,-0.484724653805128,0.613095215631268,-0.236651129831048
"2",1977,-0.910592492153895,-0.091513547869001,-0.356521991268957,-0.452876010430618,-0.711628032618269,-0.27862193617669,-0.0715178376596243,-0.353922602151528
"3",1978,0.664471962573343,-0.74729925017523,1.44882795913733,0.455333557178481,0.519284838751068,1.13225905006582,-0.584014364011942,0.355843174934983
"4",1979,0.559192465886129,-1.25031296930557,0.981074673649541,0.0966513900767014,0.437008912090009,0.766709857457116,-0.977119585512299,0.0755330613449421
"5",1980,0.0715819247159243,0.133232303069785,1.51016910072611,0.571661109503939,0.0559412741654948,1.18019715221745,0.104121044849037,0.446753157077329
"6",1981,0.515181454574922,-0.514679450185935,-0.00454804836996007,-0.00134868132699093,0.402614306750301,-0.00355429980112379,-0.402221990320308,-0.00105399445704341
"7",1982,0.0754365943184299,-0.548597013381213,-0.887911823305092,-0.453690747455958,0.0589536984598529,-0.693903089912929,-0.428728565957418,-0.354559319136831
"8",1983,2.97130757554184,-0.281954014896932,0.238121433083237,0.97582499790938,2.32207687028594,0.18609189995455,-0.220347062641952,0.762607235866181
"9",1984,2.65238256217985,-0.675859757489975,-0.172408425766106,0.601371459641255,2.07283697234355,-0.134737184736212,-0.528184400478415,0.469971795709641
"10",1985,1.47269966780021,-1.68019831382761,-0.568213206937949,-0.258570617655117,1.15091479038586,-0.444058621222007,-1.31307498225628,-0.202072937697474
"11",1986,-1.05694313655032,-0.220218828455056,-1.1442646701096,-0.80714221170499,-0.826001061214075,-0.894242839690649,-0.172101014437626,-0.63078163844745
"12",1987,0.864151219684972,2.01893202851762,-1.35093040872575,0.510717613158945,0.675334178183806,-1.05575211441918,1.57779538028652,0.399125814683716
"13",1988,1.90807217782751,-0.606351285192828,0.431290700671298,0.577670531101992,1.4911584069722,0.337053682574619,-0.473863529378195,0.451449520056206
"14",1989,0.288329660530993,-1.77481515457663,2.13641885159996,0.216644452518109,0.225329629704971,1.66961133252537,-1.38701804330163,0.169307639642902
"15",1990,-2.04605263937392,-0.654303294110926,2.04821484390541,-0.217380363193145,-1.59899013767072,1.60067990051208,-0.511338024347689,-0.169882753835443
"16",1991,-0.398939892672629,-1.34518084773307,1.46676304128523,-0.0924525663734927,-0.311771526123659,1.1462753167644,-1.0512588325034,-0.0722516806208845
"17",1992,0.0533209493458907,-2.50737108707101,1.02481943646263,-0.476410233754164,0.0416703219138135,0.800896389595543,-1.95951050454599,-0.372314597678879
"18",1993,-0.709246843257456,-1.65500882026185,-0.752228730871184,-1.0388281314635,-0.554276408005702,-0.58786675317583,-1.29338939303464,-0.811844184738724
"19",1994,-2.17740475106709,0.228424660529468,-1.30567768893164,-1.08488592648975,-1.70164181295893,-1.02038711390008,0.178513872203779,-0.847838351551743
"20",1995,-3.5501490907026,-1.46219660212762,-3.41100660740256,-2.80778410007759,-2.77444151438408,-2.6657016636851,-1.14270664456274,-2.19428327421064
"21",1996,-1.88278476263703,1.20064247086037,-5.17001813552239,-1.95072014243302,-1.47139629200084,-4.04036917291075,0.938302090977381,-1.5244877913114
"22",1997,0.44417909378029,1.15462779706025,-2.45560063578271,-0.285597914980724,0.347125961789296,-1.91905189686419,0.902341623402584,-0.223194770557436
"23",1998,0.0595412096835829,-0.636968252038036,0.218303572856659,-0.119707823165931,0.04653145536772,0.170604242187479,-0.497790688967725,-0.0935516638041752
"24",1999,-1.85358066624157,-0.125249116523021,2.38412718293066,0.13509913338869,-1.44857329066779,1.86319539346031,-0.0978821845627409,0.105579972743262
"25",2000,-1.26216672391904,0.704237973596942,-0.857062704265194,-0.471663818195764,-0.98638329474273,-0.669794503383249,0.55036197636601,-0.36860527391999
"26",2001,-0.961281201648278,-0.0638271187428409,-2.03943314405441,-1.02151382148184,-0.751241259088129,-1.59381700207852,-0.0498808932975302,-0.79831305148806
"27",2002,1.39851798773649,-0.295051823156779,-2.054363502463,-0.316965779294429,1.09294180741607,-1.60548507717483,-0.230582999797023,-0.247708756518597
"28",2003,2.42608437881421,0.920795440887183,-0.048856697332639,1.09934104078959,1.89598494204331,-0.0381815089654574,0.719601637053333,0.859135023377061
"29",2004,0.319434042537722,0.87691135410414,1.80432475471878,1.00022338378688,0.24963770424323,1.41007979581273,0.685306223232385,0.781674574429448
"30",2005,-0.474999402249268,-0.14588167878334,-0.0672965836080001,-0.229392554880203,-0.371212032857803,-0.052592280089652,-0.11400653196918,-0.179270281638878
"31",2006,0.139833110115678,-0.78071643306615,-1.14224543295071,-0.59437625196706,0.109279575555403,-0.892664805850979,-0.610129892441197,-0.464505040912258
"32",2007,0.358842745265091,0.401513625888811,-1.68212656211571,-0.307256730320604,0.280435605424669,-1.31458190829343,0.313782898632106,-0.240121134745552
"33",2008,0.348795776427432,0.781827439385561,-0.612120211719794,0.172834334697733,0.272583899278038,-0.478371945459019,0.610998143879816,0.135070032566278
"34",2009,-1.79659593978369,-0.432313238777817,-0.683395751541847,-0.97076831003445,-1.40403972694095,-0.534073779829953,-0.337852796104864,-0.758655434291922
"35",2010,-2.15642010222203,-2.08067811790264,1.38578104549134,-0.950439058211112,-1.68524230988652,1.08298788705148,-1.62604994914092,-0.742768123991984
"36",2011,-0.0467899493198733,-3.07064100831433,1.31236107618339,-0.601689960483602,-0.036566345393481,1.02561018103732,-2.39970594799765,-0.470220704117935
