year,month,day, gfdl_pdo, ipsl_pdo, had_pdo, gfdl_pdo_fil10yr, ipsl_pdo_fil10yr, had_pdo_fil10yr
1981,10,16,-0.006715212,-0.02266888,0.009341946,0.01200591,0.0004155981,0.0004635137
1981,11,16,-0.00110188,-0.01143374,0.0001086914,0.01237443,0.0003940997,0.000241627
1981,12,16,0.001727826,-0.008465549,-0.006538402,0.01268725,0.0002921357,8.558115e-05
1982,1,16,-0.003704592,0.001209782,-0.01767479,0.01293141,0.0002116118,0.0001006571
1982,2,16,-8.033054e-05,0.005027038,-0.01304686,0.01317899,0.000197984,0.0002164548
1982,3,16,0.003316897,0.002113337,-0.02357147,0.01341297,0.0002731252,0.0003241118
1982,4,16,0.01902191,0.01638842,-0.01772604,0.01358744,0.0004559941,0.000392621
1982,5,16,0.02899065,0.02514191,0.0115521,0.01391711,0.0007640869,0.0004928137
1982,6,16,0.02763221,0.0163993,0.005828368,0.01444117,0.00105582,0.0005074305
1982,7,16,0.02320349,0.01889546,0.01085673,0.0147611,0.001408448,0.0003842978
1982,8,16,0.03154624,0.009947325,-0.01203954,0.01518759,0.00152813,6.965664e-05
1982,9,16,0.03113904,-0.01485523,-0.001356495,0.01548382,0.001693837,-7.394661e-05
1982,10,16,0.0495264,-0.001793078,-0.00287565,0.01568713,0.001807717,-0.0001995781
1982,11,16,0.06737813,-0.02025163,-0.01020609,0.01593396,0.001760615,-0.0004775934
1982,12,16,0.06012445,-0.004883499,0.001833866,0.01618999,0.001725966,-0.000771349
1983,1,16,0.05041617,-0.008201576,-0.001332908,0.01648253,0.001911735,-0.0008659643
1983,2,16,0.05052684,-0.01373417,-0.002612272,0.01670827,0.002067774,-0.0007390063
1983,3,16,0.04863413,-0.008951278,0.006634722,0.01670415,0.00208114,-0.0006290242
1983,4,16,0.0507844,-0.01494423,0.01525941,0.01658643,0.002077868,-0.0006534214
1983,5,16,0.03455038,-0.009730341,0.002430035,0.01655498,0.002011694,-0.0006899941
1983,6,16,0.02470397,0.0008575617,0.007376855,0.01651556,0.001838634,-0.000761456
1983,7,16,0.03802974,0.007524346,0.02617005,0.01650322,0.001554012,-0.0008609407
1983,8,16,0.03233503,0.001717531,0.008882959,0.01652015,0.001424764,-0.0006724352
1983,9,16,0.03012578,-0.02539199,0.01478071,0.01653025,0.001369023,-0.0006227685
1983,10,16,0.02112482,-0.01605786,0.00712081,0.01678998,0.001647443,-0.000632171
1983,11,16,0.02821542,0.01024889,0.01687683,0.01705839,0.001620074,-0.0005960606
1983,12,16,0.02042589,0.01356798,0.006012859,0.01706505,0.00142934,-0.0006357644
1984,1,16,0.01999742,-0.007338409,-0.007039685,0.01706665,0.001292967,-0.0007753624
1984,2,16,0.02681203,-0.01225585,-0.01047965,0.01704803,0.001248476,-0.0007683914
1984,3,16,0.03308795,-0.01208902,-0.009874502,0.01699151,0.00112941,-0.0006697883
1984,4,16,0.03316805,-0.0004814074,-0.006231251,0.01683019,0.000930122,-0.0005925507
1984,5,16,0.02399347,-0.0004813282,-0.007453987,0.01661275,0.000643767,-0.000391505
1984,6,16,0.05043456,-0.0001306823,-0.02957606,0.0164009,0.0004678116,-0.0001700964
1984,7,16,0.0625419,-0.007879249,-0.02043692,0.0162786,0.0005282954,9.369268e-05
1984,8,16,0.04568294,-0.05590634,-0.01142969,0.01628359,0.0005308645,0.0001457485
1984,9,16,0.04188236,-0.03415238,0.008048236,0.01640151,0.0004927442,0.0002619422
1984,10,16,0.03917074,-0.0264835,0.03293565,0.01627883,0.0004656429,0.0003857417
1984,11,16,0.04426473,-0.008539672,0.004988214,0.01593429,0.0002681437,0.0002862787
1984,12,16,0.03717794,0.001702831,0.004356204,0.01570055,0.0001009785,0.0002820135
1985,1,16,0.02135895,0.007965829,-0.00825938,0.01542387,-1.89818e-05,0.0003846131
1985,2,16,0.01889279,0.0181879,-0.006554027,0.01493848,-5.740075e-06,0.0004515675
1985,3,16,0.01322865,0.01342544,-0.007163717,0.01442523,-8.413677e-05,0.000352286
1985,4,16,0.006782693,0.0152565,-0.023393,0.0139553,-0.0003707274,0.0002211112
1985,5,16,2.561957e-05,-0.003254177,-0.0369327,0.01343649,-0.0007167786,0.0002113608
1985,6,16,-0.0204605,-0.01289053,-0.02735511,0.01311621,-0.0009094547,0.000331176
1985,7,16,-0.02061508,-0.03528521,-0.02779294,0.01265912,-0.0007488552,0.0005438573
1985,8,16,-0.01645945,-0.04581685,-0.0253881,0.01235897,-0.0009951279,0.0005776732
1985,9,16,-0.0297272,-0.03378205,-0.01182195,0.01223248,-0.001240347,0.0006945743
1985,10,16,-0.02653559,-0.02358481,0.01356844,0.01177099,-0.001381482,0.0008851968
1985,11,16,-0.0143342,-0.02381109,-0.0130525,0.01114583,-0.001524789,0.0009370305
1985,12,16,0.006646971,-0.0265345,-0.01266851,0.01082382,-0.001696982,0.0008293408
1986,1,16,0.0164501,-0.003994947,-0.02183437,0.01069181,-0.00181777,0.0006578232
1986,2,16,0.01846587,0.0183052,-0.02447262,0.01054884,-0.001705667,0.0006740863
1986,3,16,0.007959674,0.02595262,-0.005210442,0.01052329,-0.001567309,0.0007491873
1986,4,16,0.000418934,0.02134042,-0.003062344,0.01050286,-0.001451285,0.0008254964
1986,5,16,-0.007919505,0.02735069,-0.02343288,0.01062725,-0.001409454,0.0008217815
1986,6,16,-0.002590918,0.03786299,-0.03289701,0.01077728,-0.001427123,0.001284843
1986,7,16,-0.01316073,0.03102652,-0.04376784,0.0110453,-0.001545065,0.001688594
1986,8,16,-0.00121884,0.00327903,-0.04125691,0.01114396,-0.001689023,0.002097864
1986,9,16,-0.005625469,0.01420645,-0.03849721,0.01124023,-0.001842575,0.002526936
1986,10,16,-0.002963082,0.03124283,-0.05022819,0.01125897,-0.001827302,0.00260122
1986,11,16,0.01801751,0.03056268,-0.05249042,0.01112251,-0.001694227,0.002955085
1986,12,16,0.0111367,0.03112315,-0.05007496,0.01094401,-0.001555288,0.003357442
1987,1,16,0.004485056,0.03494536,-0.03198905,0.01075491,-0.001536696,0.003782523
1987,2,16,0.01501012,0.04063874,-0.02167688,0.01051346,-0.001598309,0.004014414
1987,3,16,0.01915819,0.04470977,-0.00841018,0.01028569,-0.001729469,0.004220089
1987,4,16,0.01848114,0.0429205,0.01389747,0.01005698,-0.001970701,0.004478798
1987,5,16,0.03103068,0.05146042,0.0173476,0.009925266,-0.002378546,0.004507349
1987,6,16,0.03226674,0.03238455,0.01510193,0.01002754,-0.002796483,0.004531798
1987,7,16,0.02700755,0.008040839,0.004237834,0.01013355,-0.003235921,0.004551828
1987,8,16,0.0378918,-0.01106147,-0.01690838,0.01007997,-0.003837104,0.004713278
1987,9,16,0.02573327,-0.00622667,0.003164553,0.009835757,-0.004257404,0.004626892
1987,10,16,0.01204648,0.01798948,0.01670915,0.009481222,-0.004679441,0.004561256
1987,11,16,0.0203984,0.01027702,-0.001293748,0.009025839,-0.004724013,0.004425378
1987,12,16,0.03535452,0.007037582,-0.009050856,0.008522479,-0.004673161,0.004248936
1988,1,16,0.03582728,0.01894136,0.00287794,0.008005439,-0.004556327,0.004088548
1988,2,16,0.03376145,0.01602016,0.01859971,0.007393979,-0.004376475,0.004005644
1988,3,16,0.01520431,0.0007950705,0.028419,0.006756678,-0.004146525,0.003941698
1988,4,16,0.01763593,-0.005250017,0.02214656,0.006115435,-0.003805535,0.003713663
1988,5,16,0.02654232,0.0001126458,0.003607817,0.005522267,-0.003444137,0.003562113
