year,gfdl_sst_station,gfdl_sst_all,had_sst_station,had_sst_all,ipsl_sst_station,ipsl_sst_all
2059,18.14515119,18.05695802,19.90232035,19.65986516,18.82132394,18.67715544
2060,18.54377745,18.40649253,19.32079429,19.04567559,19.04628243,18.96513753
2061,17.83429295,17.71058894,19.36073362,19.19298643,19.56691027,19.45797047
2062,17.57937731,17.524922,18.77074437,18.56492086,19.54193931,19.3527118
2063,18.13839168,18.09551253,19.22324868,19.0170821,18.88100828,18.83054034
2064,18.70957147,18.65034167,19.98125929,19.67514735,19.38194964,19.22721433
2065,17.85497737,17.78311253,19.63145309,19.36208808,19.38124224,19.25274065
2066,17.37649911,17.26257121,19.86761958,19.53213339,19.30418279,19.24815479
2067,18.2101774,18.1594062,21.07910475,20.82313373,18.97498704,18.90789645
2068,18.39116847,18.3712969,20.81158934,20.55555516,19.44971015,19.3564643
2069,18.57203307,18.48449094,20.51158086,20.29776648,19.84427979,19.7489714
2070,18.52477423,18.48118646,20.03224913,19.83517611,19.19652507,19.08419741
