"","year","gfdl_sst_station","gfdl_sst_all","had_sst_station","had_sst_all","ipsl_sst_station","ipsl_sst_all","SST_CC_ann","sstGFDLbc","sstHADbc","sstIPSLbc","emean","recDevSST_GFDL","recDevSST_HAD","recDevSST_IPSL","recDevSST_EMEAN","recDevSST_GFDLbc","recDevSST_HADbc","recDevSST_IPSLbc","recDevSST_EMEANbc"
"14",1993,16.1490476,15.96739516,16.10631552,15.96931714,16.89023567,16.73464674,16.33465,15.083707532,15.1669586412,15.8874207096,15.3793622942667,-0.952986808505617,-0.846345051409241,0.0765416420387623,-0.5742634059587,-1.45164872691039,-0.978642874672846,0.100417782704231,-0.926272898329715
"15",1994,16.96807032,16.71972299,16.86308166,16.67232626,16.89680983,16.74405422,16.44578,15.836035362,15.8699677612,15.8968281896,15.8676104376,0.0107188102503351,0.0541850259915577,0.0885922946569622,0.051165376966285,0.016327557858112,0.0626550477400499,0.11622747509946,0.0825285078675233
"16",1995,16.59305736,16.27994165,16.41836311,16.21060287,16.95844774,16.7662119,15.79355,15.396254022,15.4082443712,15.9189858696,15.5744947542667,-0.552625693942765,-0.53726647627979,0.116975507218161,-0.324305554334799,-0.841793798098789,-0.621250172061989,0.153464450888078,-0.523096966724924
"17",1996,16.93336365,16.75284329,16.88960861,16.70195835,17.29429146,17.1488236,16.21949,15.869155662,15.8995998512,16.3015975696,16.0234510276,0.053144755339833,0.0921426961584118,0.607087703508661,0.250791718335634,0.080953393837642,0.106546133752924,0.796460586284138,0.404520938317536
"18",1997,16.8247344,16.62590456,17.23217664,16.96503468,17.17930603,17.01929162,16.80187,15.742216932,16.1626761812,16.1720655896,16.0256529009333,-0.109459314934618,0.429134267216856,0.441161770747968,0.253612241010067,-0.166735230493367,0.496215098310604,0.578776279844485,0.409070372750139
"19",1998,17.28969754,17.11326985,17.42316159,17.14070596,16.9641983,16.80226685,16.55176,16.229582222,16.3383474612,15.9550408196,16.1743235009333,0.514838563770226,0.65416302840206,0.163160636244914,0.444054076139068,0.78423409326449,0.75641960162006,0.214056412691388,0.716248418151931
"20",1999,17.82703711,17.71044263,16.39217834,16.21096621,16.72732434,16.5607384,15.18552,16.826755002,15.4086077112,15.7135123696,15.9829583609333,1.27979599390293,-0.536801050456692,-0.146228854709332,0.198922029578966,1.94946478657711,-0.620711992433356,-0.19184298855065,0.320856392672512
"21",2000,16.9655408,16.73776557,16.06933351,15.95056301,17.17404427,17.01444245,15.73355,15.854077942,15.1482045112,16.1672164196,15.7231662909333,0.0338307237400315,-0.870368435544691,0.434950153698917,-0.133862519368581,0.0515330606985882,-1.00642151374038,0.570627032004237,-0.215916986014899
"22",2001,17.5927561,17.42566261,16.29406486,16.27742207,16.84465416,16.59867216,15.4982,16.541974982,15.4750635712,15.7514461296,15.9228282276,0.915002755583629,-0.451673419751788,-0.0976370358309353,0.121897433333636,1.39378905710702,-0.522277495665852,-0.128093602211863,0.196617593427189
"23",2002,16.96070422,16.839503,16.2242687,16.25532542,16.24904049,16.16015263,14.90527,15.955815372,15.4529669212,15.3129265996,15.5739029642667,0.164152810759983,-0.47997845501904,-0.659365205577387,-0.325063616612148,0.250047762079896,-0.555007079226997,-0.865045355348784,-0.52431970272981
"24",2003,17.50836629,17.4113393,17.02344568,16.92652736,16.65853746,16.56911926,15.98058,16.527651672,16.1241688612,15.7218932296,16.1245712542667,0.896655096789488,0.379807738053064,-0.135493266379434,0.380323189487704,1.36584076307757,0.439178011346949,-0.177758577145316,0.613452048961158
"25",2004,16.16039173,16.06040069,16.76663142,16.80046982,17.22266874,17.08356785,15.78369,15.176713062,15.9981113212,16.2363418196,15.8037220676,-0.833849979769166,0.218332441326961,0.523497371709915,-0.0306733889107633,-1.27017210601717,0.252461437162985,0.686795369401409,-0.0494754298343897
"26",2005,16.52393397,16.39876049,16.78453145,16.61427138,17.14525885,17.05477309,15.36299,15.515072862,15.8119128812,16.2075470596,15.8448442676,-0.400422918562167,-0.020181243367638,0.486612291966519,0.022002710012238,-0.609949072503964,-0.0233359077256867,0.638404482767114,0.0354898357838418
"27",2006,17.15890446,16.9825098,17.00055773,16.83297955,17.02797042,16.90048979,15.71901,16.098822172,16.0306210512,16.0532637596,16.0609023276,0.347339516321977,0.259976267616409,0.288980784582016,0.298765522840135,0.529089135520281,0.300614886875277,0.379124472103163,0.481901517475462
"28",2007,16.8185466,16.63756106,17.00168733,16.91743733,17.80353525,17.68862109,15.06105,15.753873432,16.1150788312,16.8413950596,16.2367824409333,-0.094527746412119,0.36816372777411,1.29854939528652,0.52406179221617,-0.143990537447247,0.425713848387479,1.70361449706757,0.845298917087619
