"","Year","GCM","ensembleSSB","ensembleRec","ensembleRecDevs","elsSSB","elsRecs","elsRecDevs"
"82",2035,"HAD",804582.898916643,8349788254.10058,-0.472868155136617,666071.840729199,4421080081.81257,-1.52454564732664
"83",2035,"IPSL",495972.241980768,11229583704.7078,0.92608376820604,394827.488337981,5322742726.43451,-0.346513223583616
"84",2036,"GFDL",260410.365838518,9380573804.85746,1.65498265817773,251510.239690363,8408037385.50996,1.37746240796431
"85",2036,"HAD",617095.418220713,9810844226.93075,0.277200536746987,461330.525134502,7209015830.0125,0.0448092319188657
"86",2036,"IPSL",537904.085867905,13993929389.7976,1.29051182078626,388715.776196265,6444224447.18007,0.0807051318480845
"87",2037,"GFDL",321819.215533913,5854493659.00492,0.204539568596365,310936.431295107,4145453016.56942,-0.476477250601713
"88",2037,"HAD",509148.485830443,10341105198.4305,0.698051264132921,387305.743495654,7447765540.448,0.390896905548901
"89",2037,"IPSL",602527.176839944,10707818456.839,0.510663706556622,396254.973364978,4214617564.42653,-0.84313695025775
"90",2038,"GFDL",394125.438473891,7439572816.74588,0.385633200295849,377115.707353591,4253766926.81438,-0.743433435787918
"91",2038,"HAD",481848.654089148,5013417467.17435,-0.841195829723107,432728.882873599,2754728474.65985,-1.87770180026171
"92",2038,"IPSL",633165.773701602,14478863315.8165,1.1138502553047,409597.612136763,7731876817.16898,0.379509857236954
"93",2039,"GFDL",417024.177201339,11125877442.4476,1.19429785307872,372876.966993277,5530206945.49686,-0.173222484638702
"94",2039,"HAD",467660.027072628,5879634258.10764,-0.433299480326994,439889.73004835,4017878887.01414,-1.10996525120629
"95",2039,"IPSL",653016.0495165,11660099316.3152,0.580169995778584,424775.184383626,5295579545.33221,-0.474212775607343
"96",2040,"GFDL",458235.169324353,9808837502.55549,0.75206389697644,352471.880852905,4055878195.87974,-0.732583168551866
"97",2040,"HAD",418991.190475312,6531226368.529,-0.0122886841828698,369036.531807756,4975042498.943,-0.378714724959123
"98",2040,"IPSL",671323.922299462,6495399051.77,-0.777549409820383,452843.116927758,2982939065.9385,-1.78165121485868
"99",2041,"GFDL",505780.134246587,5790310777.79775,-0.596115551507452,340984.487598756,2281423659.75075,-1.88731661082009
"100",2041,"HAD",383043.118414881,16988302104.9128,2.29297998365647,341397.005457295,14713891403.2477,2.02985006242859
"101",2041,"IPSL",581668.951534264,6070754360.81575,-0.711739853118915,428916.693794887,3084868256.7255,-1.62573126582098
"102",2042,"GFDL",477293.853072769,2900364911.0775,-2.05700439376878,302355.464782701,1315255118.56425,-2.84256567020626
"103",2042,"HAD",500994.467897539,18144456030.6898,1.98930859179399,464207.543143252,10468035608.5047,0.819411965206684
"104",2042,"IPSL",464178.93114544,3656568232.76854,-1.48963795952606,352231.235238952,2081120801.33629,-2.1344175274445
"105",2043,"GFDL",362586.664116404,2941870569.0235,-1.55647689595981,245073.864586065,1553307769.76125,-2.12758723241966
"106",2043,"HAD",747977.47224025,19805753223.488,1.57347443523934,657622.180542236,11028304072.1655,0.415175100665838
